Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value
1,"Bijan Robinson","ATL","RB",1,5,null,261.88,53
2,"Jahmyr Gibbs","DET","RB",2,8,null,257,41
3,"Ja'Marr Chase","CIN","WR",1,10,1,271.19,52
4,"Justin Jefferson","MIN","WR",2,6,3,235.16,49
5,"Saquon Barkley","PHI","RB",3,9,2,263.21,39
6,"Brian Thomas Jr.","JAX","WR",3,8,null,235.16,4
7,"Puka Nacua","LAR","WR",4,8,null,229.21,37
8,"Nico Collins","HOU","WR",5,6,9,226.99,29
9,"Ashton Jeanty","LV","RB",4,8,37,259.47,"N/A"
10,"CeeDee Lamb","DAL","WR",6,10,5,222.19,55
11,"Amon-Ra St. Brown","DET","WR",7,8,7,218.54,52
12,"Bucky Irving","TB","RB",5,9,23,250.87,2
13,"Malik Nabers","NYG","WR",8,14,10,215.97,28
14,"Christian McCaffrey","SF","RB",6,14,28,244.69,54
15,"Brock Bowers","LV","TE",1,8,16,192.22,6
16,"Trey McBride","ARI","TE",2,8,19,184.14,18
17,"Derrick Henry","BAL","RB",7,7,14,235.94,31
18,"Drake London","ATL","WR",9,5,11,210.03,37
19,"De'Von Achane","MIA","RB",8,12,null,237.26,30
20,"A.J. Brown","PHI","WR",10,9,13,209.3,47
21,"Josh Jacobs","GB","RB",9,5,26,230.53,21
22,"Jayden Daniels","WAS","QB",1,12,31,331.63,5
23,"Ladd McConkey","LAC","WR",11,12,20,201.34,8
24,"Josh Allen","BUF","QB",2,7,22,330.57,20
25,"Kenneth Walker III","SEA","RB",10,8,null,220.18,16
26,"Tee Higgins","CIN","WR",12,10,21,201.41,17
27,"Jonathan Taylor","IND","RB",11,11,29,227.25,41
28,"Lamar Jackson","BAL","QB",3,7,24,329.78,12
29,"Kyren Williams","LAR","RB",12,8,38,222.86,27
30,"George Kittle","SF","TE",3,14,53,173.35,9
31,"Garrett Wilson","NYJ","WR",13,9,25,190.94,47
32,"James Cook","BUF","RB",13,7,41,210.01,24
33,"Omarion Hampton","LAC","RB",14,12,62,205.24,"N/A"
34,"Jalen Hurts","PHI","QB",4,9,40,323.83,18
35,"Chase Brown","CIN","RB",15,10,null,202.58,10
36,"Terry McLaurin","WAS","WR",14,12,27,194.05,19
37,"Breece Hall","NYJ","RB",16,9,32,198.19,51
38,"RJ Harvey","DEN","RB",17,12,214,190.63,"N/A"
39,"Marvin Harrison Jr.","ARI","WR",15,8,null,190.01,35
40,"Alvin Kamara","NO","RB",18,11,47,193.79,18
41,"Joe Mixon","HOU","RB",19,6,52,195.6,19
42,"Mike Evans","TB","WR",16,9,30,192.15,26
43,"Rashee Rice","KC","WR",17,10,44,178.7,15
44,"Quinshon Judkins","CLE","RB",20,9,132,200.43,"N/A"
45,"Davante Adams","LAR","WR",18,8,34,182.99,33
46,"DJ Moore","CHI","WR",19,5,36,178.45,24
47,"James Conner","ARI","RB",21,8,54,195.61,11
48,"Chuba Hubbard","CAR","RB",22,14,50,196.07,3
49,"Jaxon Smith-Njigba","SEA","WR",20,8,null,174.83,8
50,"Tyreek Hill","MIA","WR",21,12,17,178.59,55
51,"Tetairoa McMillan","CAR","WR",22,14,131,173.74,"N/A"
52,"Jameson Williams","DET","WR",23,8,58,178.05,7
53,"Travis Hunter","JAX","WR",24,8,199,173.9,"N/A"
54,"D'Andre Swift","CHI","RB",23,5,84,184.2,13
55,"DeVonta Smith","PHI","WR",25,9,55,172.68,27
56,"Xavier Worthy","KC","WR",26,10,65,175.38,6
57,"Zay Flowers","BAL","WR",27,7,null,172.72,16
58,"Joe Burrow","CIN","QB",5,10,48,304.98,8
59,"Aaron Jones","MIN","RB",24,6,70,180.31,12
60,"Jaylen Waddle","MIA","WR",28,12,51,168.79,33
61,"Tony Pollard","TEN","RB",25,10,71,184.8,7
62,"D.K. Metcalf","PIT","WR",29,5,49,183.92,32
63,"Courtland Sutton","DEN","WR",30,12,45,164.34,6
64,"T.J. Hockenson","MIN","TE",4,6,39,145.66,2
65,"Jordan Addison","MIN","WR",31,6,null,160.2,6
66,"Chris Olave","NO","WR",32,11,46,157.33,33
67,"David Montgomery","DET","RB",26,8,60,169.92,10
68,"Sam LaPorta","DET","TE",5,8,66,146.05,20
69,"Isiah Pacheco","KC","RB",27,10,67,167.24,31
70,"Deebo Samuel","WAS","WR",33,12,86,160.83,26
71,"Chris Godwin","TB","WR",34,9,56,157.56,16
72,"Jaylen Warren","PIT","RB",28,5,76,161.43,11
73,"Patrick Mahomes","KC","QB",6,10,63,297.05,21
74,"Brandon Aiyuk","SF","WR",35,14,72,160.48,23
75,"Jakobi Meyers","LV","WR",36,8,81,157.86,3
76,"Jerry Jeudy","CLE","WR",37,9,64,157.45,3
77,"George Pickens","DAL","WR",38,10,59,156.4,20
78,"Jonnu Smith","MIA","TE",6,12,77,141.93,1
79,"Brian Robinson","WAS","RB",29,12,82,156.27,5
80,"David Njoku","CLE","TE",7,9,87,136.5,6
81,"Jauan Jennings","SF","WR",39,14,null,153.27,1
82,"Matthew Golden","GB","WR",40,5,170,146.61,"N/A"
83,"Rhamondre Stevenson","NE","RB",30,14,91,155.61,15
84,"Colston Loveland","CHI","TE",8,5,197,124.25,"N/A"
85,"Kaleb Johnson","PIT","RB",31,5,177,145.08,"N/A"
86,"Rome Odunze","CHI","WR",41,5,73,152.47,5
87,"Calvin Ridley","TEN","WR",42,10,83,157.39,14
88,"TreVeyon Henderson","NE","RB",32,14,119,146.77,"N/A"
89,"Travis Kelce","KC","TE",9,10,85,126.32,20
90,"Tyrone Tracy","NYG","RB",33,14,68,147.18,1
91,"Cam Skattebo","NYG","RB",34,14,181,142.2,"N/A"
92,"Jordan Mason","MIN","RB",35,6,250.6,115.63,1
93,"Travis Etienne Jr.","JAX","RB",36,8,null,135.6,30
